,StockCode,Product,UnitPrice,TotalAmount,Quantity
1301,22470,HEART OF WICKER LARGE,2.55,28520.950000000237,9591
139,20725,LUNCH BAG RED RETROSPOT,1.65,28338.450000000033,17897
1300,22469,HEART OF WICKER SMALL,1.45,28228.63999999987,16775
2044,23245,SET OF 3 REGENCY CAKE TINS,4.95,26625.67999999985,5856
1998,23199,JUMBO BAG APPLES,2.08,26451.2599999999,13887
366,21175,GIN + TONIC DIET METAL SIGN,2.1,26107.43999999983,11993
1545,22727,ALARM CLOCK BAKELIKE RED ,3.75,25925.199999999993,7221
1721,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,2.55,25669.27000000015,9433
115,20685,DOORMAT RED RETROSPOT,7.95,25397.84999999999,3901
1518,22699,ROSES REGENCY TEACUP AND SAUCER ,2.95,24865.600000000275,9132
1451,22629,SPACEBOY LUNCH BOX ,1.95,24694.590000000157,13919
2142,23355,HOT WATER BOTTLE KEEP CALM,4.95,24426.29999999999,5338
1290,22457,NATURAL SLATE HEART CHALKBOARD ,2.95,24245.52000000027,8480
2000,23201,JUMBO BAG ALPHABET,2.08,24174.999999999884,12540
368,21181,PLEASE ONE PERSON METAL SIGN,2.1,23930.92000000009,11963
846,21915,RED  HARMONICA IN BOX ,1.25,23793.930000000004,20975
2528,48138,DOORMAT UNION FLAG,7.95,23697.989999999972,3625
980,22112,CHOCOLATE HOT WATER BOTTLE,4.95,23624.24000000009,5160
1973,23173,REGENCY TEAPOT ROSES ,8.15,23073.320000000112,2666
1004,22138,BAKING SET 9 PIECE RETROSPOT ,4.95,23007.550000000083,4797
2532,48187,DOORMAT NEW ENGLAND,7.95,22968.24999999996,3721
2668,84029,KNITTED UNION FLAG HOT WATER BOTTLE,3.39,22759.68,6176
1049,22189,CREAM HEART CARD HOLDER,3.95,22715.569999999952,8195
635,21623,VINTAGE UNION JACK MEMOBOARD,9.95,22709.130000000103,3255
722,21733,RED HANGING HEART T-LIGHT HOLDER,2.55,22624.690000000126,7759
1172,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,2.95,22175.520000000168,8100
2042,23243,SET OF TEA COFFEE SUGAR TINS PANTRY,4.15,22133.829999999973,4663
2520,47590,PINK HAPPY BIRTHDAY BUNTING,5.45,21795.67000000005,4237
857,21931,JUMBO STORAGE BAG SUKI,1.95,21790.949999999913,11516
2531,48185,DOORMAT FAIRY CAKE,7.95,21187.689999999988,3429
1771,22961,JAM MAKING SET PRINTED,1.45,21170.750000000004,15055
2001,23202,JUMBO BAG VINTAGE LEAF,2.08,20963.929999999902,10716
633,21621,VINTAGE UNION JACK BUNTING,8.5,20962.16,2540
1544,22726,ALARM CLOCK BAKELIKE GREEN,3.75,20880.399999999994,5641
1485,22666,RECIPE BOX PANTRY YELLOW DESIGN,2.95,20859.27000000017,7373
2008,23209,LUNCH BAG VINTAGE DOILY ,1.65,20817.560000000012,13004
2945,85066,CREAM SWEETHEART MINI CHEST,12.75,20562.920000000002,1705
1541,22722,SET OF 6 SPICE TINS PANTRY DESIGN,3.95,20529.99999999995,5372
1005,22139,RETROSPOT TEA SET CERAMIC 11 PC ,4.25,20470.780000000086,4248
360,21166,COOK WITH WINE METAL SIGN ,1.95,20315.3299999999,10209
1245,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,1.95,20174.22999999991,10518
1452,22630,DOLLY GIRL LUNCH BOX,1.95,20129.44000000009,11336
979,22111,SCOTTIE DOG HOT WATER BOTTLE,4.95,20104.35000000009,4259
2558,71477,COLOUR GLASS. STAR T-LIGHT HOLDER,3.25,20049.119999999966,6652
2646,82482,WOODEN PICTURE FRAME WHITE FINISH,2.1,20001.650000000067,8276
2534,48194,DOORMAT HEARTS,7.95,19948.809999999976,3271
721,21731,RED TOADSTOOL LED NIGHT LIGHT,1.65,19844.909999999923,12871
1478,22659,LUNCH BOX I LOVE LONDON,1.95,19353.220000000045,11094
2885,84946,ANTIQUE SILVER T-LIGHT GLASS,1.25,19239.419999999984,16473
589,21523,DOORMAT FANCY FONT HOME SWEET HOME,6.75,19157.01999999998,3088
132,20713,JUMBO BAG OWLS,1.95,19076.91999999995,10466
958,22090,PAPER BUNTING RETROSPOT,2.95,18791.890000000094,6879
1223,22383,LUNCH BAG SUKI DESIGN ,1.65,18723.700000000008,11722
1546,22728,ALARM CLOCK BAKELIKE PINK,3.75,18569.089999999997,5074
855,21929,JUMBO BAG PINK VINTAGE PAISLEY,1.95,18429.979999999916,9889
2005,23206,LUNCH BAG APPLE DESIGN,1.65,18278.249999999993,11565
854,21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,1.95,18063.619999999926,9704
141,20727,LUNCH BAG  BLACK SKULL.,1.65,18024.55,11291
793,21843,RED RETROSPOT CAKE STAND,10.95,17929.750000000007,1809
1516,22697,GREEN REGENCY TEACUP AND SAUCER,2.95,17806.34000000013,6430
2131,23344,JUMBO BAG 50'S CHRISTMAS ,2.08,17679.719999999925,8954
2650,82494,WOODEN FRAME ANTIQUE WHITE ,2.55,17625.07000000013,6282
1174,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,2.95,17604.990000000096,6481
2695,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,2.55,17592.519999999986,7907
2649,82486,WOOD S/3 CABINET ANT WHITE FINISH,6.95,17590.629999999917,2085
1298,22467,GUMBALL COAT RACK,2.55,17580.349999999948,7688
1779,22969,HOMEMADE JAM SCENTED CANDLES,1.45,17521.599999999948,12092
324,21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,2.55,17304.57000000002,10082
231,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,2.55,17303.980000000094,6170
142,20728,LUNCH BAG CARS BLUE,1.65,17265.67999999997,10820
1512,22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,1.25,17226.200000000004,15940
2912,85014,RED RETROSPOT UMBRELLA,5.95,16615.409999999996,2979
2039,23240,SET OF 4 KNICK KNACK TINS DOILY ,4.15,16432.249999999887,4103
392,21212,PACK OF 72 RETROSPOT CAKE CASES,0.42,16394.530000000126,33693
1224,22384,LUNCH BAG PINK POLKADOT,1.65,16349.499999999962,10254
1677,22865,HAND WARMER OWL DESIGN,1.85,16237.630000000114,8115
11,15036,ASSORTED COLOURS SILK FAN,0.75,16044.439999999913,21876
1321,22492,MINI PAINT SET VINTAGE ,0.65,16039.239999999916,26076
1222,22382,LUNCH BAG SPACEBOY DESIGN ,1.65,15881.199999999946,9912
571,21485,RETROSPOT HEART HOT WATER BOTTLE,4.25,15871.730000000069,3335
736,21754,HOME BUILDING BLOCK WORD,5.95,15630.960000000056,2654
2984,85152,HAND OVER THE CHOCOLATE   SIGN ,2.1,15539.110000000042,8164
131,20712,JUMBO BAG WOODLAND ANIMALS,1.95,15511.5999999999,8187
982,22114,HOT WATER BOTTLE TEA AND SYMPATHY,3.45,15415.220000000003,3736
1225,22385,JUMBO BAG SPACEBOY DESIGN,1.95,15331.019999999893,8236
945,22077,6 RIBBONS RUSTIC CHARM,1.65,14988.589999999982,8605
1446,22624,IVORY KITCHEN SCALES,8.5,14788.329999999996,1783
1517,22698,PINK REGENCY TEACUP AND SAUCER,2.95,14769.490000000076,5343
2647,82483,WOOD 2 DRAWER CABINET WHITE FINISH,4.95,14689.869999999943,2341
140,20726,LUNCH BAG WOODLAND,1.65,14537.10999999995,9115
1803,22993,SET OF 4 PANTRY JELLY MOULDS,1.25,14180.169999999987,11792
1650,22835,HOT WATER BOTTLE I AM SO POORLY,4.65,13847.27999999998,2972
2675,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,0.29,13586.25000000003,54415
2530,48184,DOORMAT ENGLISH ROSE ,7.95,13470.949999999966,1975
952,22084,PAPER CHAIN KIT EMPIRE,2.95,13435.150000000012,4893
1661,22847,BREAD BIN DINER STYLE IVORY,14.95,13191.69000000002,851
2143,23356,LOVE HOT WATER BOTTLE,5.95,13115.400000000047,2352
1712,22900, SET 2 TEA TOWELS I LOVE LONDON ,2.95,13068.199999999997,4580
1999,23200,JUMBO BAG PEARS,2.08,13043.239999999923,6733
1444,22622,BOX OF VINTAGE ALPHABET BLOCKS,9.95,13035.659999999963,1295
2676,84078,SET/4 WHITE RETRO STORAGE CUBES ,34.95,13007.15000000002,357
2100,23313,VINTAGE CHRISTMAS BUNTING,4.95,12994.770000000006,2755
1908,23108,SET OF 10 LED DOLLY LIGHTS,6.25,12985.230000000003,2194
2658,82583,HOT BATHS METAL SIGN,2.1,12832.140000000045,6415
2899,84978,HANGING HEART JAR T-LIGHT HOLDER,1.25,12674.719999999985,10980
1570,22752,SET 7 BABUSHKA NESTING BOXES,7.65,12665.289999999994,1654
1382,22558,CLOTHES PEGS RETROSPOT PACK 24 ,1.25,12545.379999999954,8418
2894,84970,SINGLE HEART ZINC T-LIGHT HOLDER,0.95,12495.369999999979,14170
2088,23301,GARDENERS KNEELING PAD KEEP CALM ,1.65,12493.479999999958,7740
1335,22507,MEMO BOARD RETROSPOT  DESIGN,4.95,12411.019999999993,2786
1033,22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,8.5,12294.38,1723
1048,22188,BLACK HEART CARD HOLDER,3.95,12261.900000000005,4844
1678,22866,HAND WARMER SCOTTY DOG DESIGN,1.85,12248.760000000037,6118
2937,85049,ROMANTIC PINKS RIBBONS ,1.25,12234.4,9847
148,20750,RED RETROSPOT MINI CASES,7.95,12216.799999999968,1712
406,21232,STRAWBERRY CERAMIC TRINKET BOX,1.25,12210.059999999994,10366
981,22113,GREY HEART HOT WATER BOTTLE,3.75,12191.15,3156
1376,22551,PLASTERS IN TIN SPACEBOY,1.65,12151.799999999937,7664
1752,22941,CHRISTMAS LIGHTS 10 REINDEER,8.5,12150.000000000002,1572
147,20749,ASSORTED COLOUR MINI CASES,7.95,12123.40999999997,1719
2660,82600,NO SINGING METAL SIGN,2.1,12097.379999999996,5833
590,21524,DOORMAT SPOTTY HOME SWEET HOME,7.95,12095.669999999962,1662
1679,22867,HAND WARMER BIRD DESIGN,2.1,12081.430000000053,6001
951,22083,PAPER CHAIN KIT RETROSPOT,2.95,12043.21000000004,4307
2006,23207,LUNCH BAG ALPHABET DESIGN,1.65,12029.059999999965,7554
1219,22379,RECYCLING BAG RETROSPOT ,2.1,11942.430000000008,6088
3195,DOT,DOTCOM POSTAGE,11.17,11906.36,16
1447,22625,RED KITCHEN SCALES,8.5,11895.730000000001,1476
1392,22568,FELTCRAFT CUSHION OWL,3.75,11783.049999999997,3284
1121,22273,FELTCRAFT DOLL MOLLY,2.95,11762.99000000003,4469
1881,23077,DOUGHNUT LIP GLOSS ,1.25,11640.7,9662
1378,22554,PLASTERS IN TIN WOODLAND ANIMALS,1.65,11637.429999999931,7307
879,21977,PACK OF 60 PINK PAISLEY CAKE CASES,0.55,11629.70000000001,24264
247,20971,PINK BLUE FELT CRAFT TRINKET BOX,1.06,11629.389999999994,10225
1430,22607,WOODEN ROUNDERS GARDEN SET ,9.95,11601.13999999999,1269
1051,22191,IVORY DINER WALL CLOCK,8.5,11587.199999999995,1426
1974,23174,REGENCY SUGAR BOWL GREEN,4.15,11575.540000000008,2956
1013,22149,FELTCRAFT 6 FLOWER FRIENDS,2.1,11566.390000000036,5890
2533,48188,DOORMAT WELCOME PUPPIES,7.95,11544.199999999993,2028
737,21755,LOVE BUILDING BLOCK WORD,5.95,11535.56000000002,1946
1261,22427,ENAMEL FLOWER JUG CREAM,5.95,11444.930000000031,1995
1053,22193,RED DINER WALL CLOCK,8.5,11074.389999999996,1352
856,21930,JUMBO STORAGE BAG SKULLS,1.95,10890.789999999963,5706
1330,22501,PICNIC BASKET WICKER LARGE,9.95,10818.899999999998,1194
1394,22570,FELTCRAFT CUSHION RABBIT,3.75,10694.810000000001,3018
1247,22413,METAL SIGN TAKE IT OR LEAVE IT ,2.95,10647.299999999977,3690
1594,22776,SWEETHEART CAKESTAND 3 TIER,9.95,10570.600000000015,1116
756,21790,VINTAGE SNAP CARDS,0.85,10447.420000000035,13336
862,21936,RED RETROSPOT PICNIC BAG,2.95,10371.659999999998,3758
1481,22662,LUNCH BAG DOLLY GIRL DESIGN,1.65,10360.689999999968,6545
1548,22730,ALARM CLOCK BAKELIKE IVORY,3.75,10285.609999999999,2728
955,22087,PAPER BUNTING WHITE LACE,2.95,10264.049999999994,3779
568,21479,WHITE SKULL HOT WATER BOTTLE ,3.75,10227.72,2702
1439,22617,BAKING SET SPACEBOY DESIGN,4.25,10210.89000000003,2153
1970,23170,REGENCY TEA PLATE ROSES ,1.65,10190.789999999994,6575
469,21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,12.75,10161.410000000007,928
1798,22988,SOLDIERS EGG CUP ,1.25,10150.22,8821
138,20724,RED RETROSPOT CHARLOTTE BAG,0.85,10125.850000000011,12809
2557,71459,HANGING JAM JAR T-LIGHT HOLDER,0.72,10031.45,12941
824,21891,TRADITIONAL WOODEN SKIPPING ROPE,1.25,10019.469999999974,7919
2007,23208,LUNCH BAG VINTAGE LEAF DESIGN,1.65,10006.449999999984,6225
2087,23300,GARDENERS KNEELING PAD CUP OF TEA ,1.45,9963.38999999998,6303
1328,22499,WOODEN UNION JACK BUNTING,5.95,9928.830000000025,1734
2529,48173,DOORMAT BLACK FLOCK ,7.95,9822.199999999995,1787
2130,23343,JUMBO BAG VINTAGE CHRISTMAS ,2.08,9748.339999999995,4908
1880,23076,ICE CREAM SUNDAE LIP GLOSS,1.25,9668.160000000002,7920
1780,22970,LONDON BUS COFFEE MUG,2.55,9666.299999999994,4246
310,21080,SET/20 RED RETROSPOT PAPER NAPKINS ,0.64,9656.79000000001,12313
1393,22569,FELTCRAFT CUSHION BUTTERFLY,3.75,9655.479999999996,2698
1509,22690,DOORMAT HOME SWEET HOME BLUE ,7.95,9635.889999999985,1597
2807,84755,COLOUR GLASS T-LIGHT HOLDER HANGING,0.65,9597.709999999961,15611
1660,22846,BREAD BIN DINER STYLE RED ,14.95,9597.309999999992,626
1380,22556,PLASTERS IN TIN CIRCUS PARADE ,1.65,9596.959999999981,5952
1428,22605,WOODEN CROQUET GARDEN SET,14.95,9555.98,709
1455,22633,HAND WARMER UNION JACK,1.85,9550.560000000023,4746
1511,22692,DOORMAT WELCOME TO OUR HOME,7.95,9468.079999999982,1378
1379,22555,PLASTERS IN TIN STRONGMAN,1.65,9462.28999999998,5885
538,21430,SET/3 RED GINGHAM ROSE STORAGE BOX,3.75,9424.32,2704
2936,85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,7.95,9374.699999999988,1266
1584,22766,PHOTO FRAME CORNICE,2.95,9365.780000000006,3206
2886,84947,ANTIQUE SILVER TEA GLASS ENGRAVED,1.06,9339.339999999993,8273
1384,22560,TRADITIONAL MODELLING CLAY,1.25,9311.470000000003,8014
1443,22621,TRADITIONAL KNITTING NANCY,1.45,9297.870000000003,5895
845,21914,BLUE HARMONICA IN BOX ,1.25,9222.630000000003,7434
569,21481,FAWN BLUE HOT WATER BOTTLE,2.95,9218.549999999997,2925
396,21217,RED RETROSPOT ROUND CAKE TINS,9.95,9188.249999999984,975
1971,23171,REGENCY TEA PLATE GREEN ,1.65,9184.900000000001,5966
1788,22978,PANTRY ROLLING PIN,3.75,9184.279999999999,2407
1385,22561,WOODEN SCHOOL COLOURING SET,1.65,9072.870000000015,5695
111,20679,EDWARDIAN PARASOL RED,4.95,9055.869999999999,1630
1975,23175,REGENCY MILK JUG PINK ,3.25,9008.0,3066
1802,22992,REVOLVER WOODEN RULER ,1.95,8950.28999999999,4917
1454,22632,HAND WARMER RED RETROSPOT,1.85,8751.119999999997,4394
1652,22838,3 TIER CAKE TIN RED AND CREAM,14.95,8737.77999999999,652
607,21559,STRAWBERRY LUNCH BOX WITH CUTLERY,2.55,8734.64000000002,3716
2983,85150,LADIES & GENTLEMEN METAL SIGN,2.55,8699.130000000014,3899
2700,84375,SET OF 20 KIDS COOKIE CUTTERS,2.1,8697.270000000008,4149
248,20972,PINK CREAM FELT CRAFT TRINKET BOX ,1.25,8648.49,7131
1776,22966,GINGERBREAD MAN COOKIE CUTTER,1.25,8625.130000000001,7204
2906,84991,60 TEATIME FAIRY CAKE CASES,0.55,8618.369999999986,17689
1441,22619,SET OF 6 SOLDIER SKITTLES,3.75,8597.500000000002,2297
2657,82582,AREA PATROLLED METAL SIGN,2.1,8552.219999999998,4290
2353,23582,VINTAGE DOILY JUMBO BAG RED ,2.08,8535.260000000004,4447
757,21791,VINTAGE HEADS AND TAILS CARD GAME ,1.25,8531.41,7143
2352,23581,JUMBO BAG PAISLEY PARK,1.79,8529.239999999998,4373
1258,22424,ENAMEL BREAD BIN CREAM,10.95,8519.0,713
912,22041,"RECORD FRAME 7"" SINGLE SIZE ",2.1,8450.820000000016,3812
1031,22169,FAMILY ALBUM WHITE PICTURE FRAME,8.5,8416.639999999998,1075
1607,22791,T-LIGHT GLASS FLUTED ANTIQUE,1.25,8378.889999999998,7336
365,21174,POTTERING IN THE SHED METAL SIGN,1.95,8372.69999999999,3926
395,21216,"SET 3 RETROSPOT TEA,COFFEE,SUGAR",4.95,8354.870000000004,1841
2105,23318,BOX OF 6 MINI VINTAGE CRACKERS,2.49,8350.409999999967,3647
1799,22989,SET 2 PANTRY DESIGN TEA TOWELS,2.95,8323.17,2697
1011,22147,FELTCRAFT BUTTERFLY HEARTS,1.45,8314.54999999998,6127
1577,22759,SET OF 3 NOTEBOOKS IN PARCEL,1.65,8283.75000000001,5207
2884,84945,MULTI COLOUR SILVER T-LIGHT HOLDER,0.85,8269.449999999973,10279
2106,23319,BOX OF 6 MINI 50'S CRACKERS,2.49,8216.789999999959,3539
2109,23322,LARGE WHITE HEART OF WICKER,2.95,8184.699999999961,2908
1022,22158,3 HEARTS HANGING DECORATION RUSTIC,2.95,8161.210000000004,2895
1886,23082,SET 6 PAPER TABLE LANTERN HEARTS ,3.75,8129.43,2265
1476,22655,VINTAGE RED KITCHEN CABINET,295.0,8125.0,60
2053,23256,CHILDRENS CUTLERY SPACEBOY ,4.15,8123.780000000019,2018
1882,23078,ICE CREAM PEN LIP GLOSS ,1.25,8077.310000000001,6607
1567,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,3.75,8071.510000000002,2223
2526,48116,DOORMAT MULTICOLOUR STRIPE,7.95,8053.2199999999975,1419
1552,22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,2.55,8051.830000000024,2843
1547,22729,ALARM CLOCK BAKELIKE ORANGE,3.75,7995.63,2182
1884,23080,RED METAL BOX TOP SECRET,8.25,7962.030000000001,1003
1486,22667,RECIPE BOX RETROSPOT ,2.95,7952.8999999999605,2870
390,21210,SET OF 72 RETROSPOT PAPER  DOILIES,1.45,7947.369999999961,5680
333,21121,SET/10 RED POLKADOT PARTY CANDLES,1.25,7799.179999999999,6502
1473,22652,TRAVEL SEWING KIT,1.65,7787.359999999995,4864
2581,72741,GRAND CHOCOLATECANDLE,1.45,7785.050000000026,5801
2701,84378,SET OF 3 HEART COOKIE CUTTERS,1.25,7741.839999999971,6019
1751,22940,FELTCRAFT CHRISTMAS FAIRY,4.25,7722.679999999999,1896
130,20711,JUMBO BAG TOYS ,1.95,7689.280000000007,4198
2426,35970,ZINC FOLKART SLEIGH BELLS,1.69,7665.109999999995,4647
2217,23439,HAND WARMER RED LOVE HEART,2.1,7660.19999999999,3762
1586,22768,FAMILY PHOTO FRAME CORNICE,9.95,7646.839999999984,837
1052,22192,BLUE DINER WALL CLOCK,8.5,7528.930000000001,907
2115,23328,SET 6 SCHOOL MILK BOTTLES IN CRATE,3.75,7510.289999999997,2067
344,21136,PAINTED METAL PEARS ASSORTED,1.69,7491.400000000045,4476
1763,22952,60 CAKE CASES VINTAGE CHRISTMAS,0.55,7431.049999999979,14759
454,21314,SMALL GLASS HEART TRINKET POT,2.1,7412.560000000023,3670
1381,22557,PLASTERS IN TIN VINTAGE PAISLEY ,1.65,7346.690000000011,4573
744,21770,OPEN CLOSED METAL SIGN,4.95,7311.359999999957,1577
136,20719,WOODLAND CHARLOTTE BAG,0.72,7277.24000000001,9237
1438,22616,PACK OF 12 LONDON TISSUES ,0.29,7266.710000000005,25345
1619,22804,CANDLEHOLDER PINK HANGING HEART,2.95,7247.909999999973,2869
822,21889,WOODEN BOX OF DOMINOES,1.25,7215.950000000002,5778
2524,47599,PINK PARTY BAGS,2.1,7210.559999999996,3860
840,21908,CHOCOLATE THIS WAY METAL SIGN,2.1,7208.519999999991,3635
2887,84949,SILVER HANGING T-LIGHT HOLDER,1.65,7193.2499999999945,4665
2037,23238,SET OF 4 KNICK KNACK TINS LONDON ,4.15,7170.599999999982,1788
1568,22750,FELTCRAFT PRINCESS LOLA DOLL,3.75,7166.9400000000005,1964
1409,22585,PACK OF 6 BIRDY GIFT TAGS,1.25,7149.700000000003,6062
1199,22355,CHARLOTTE BAG SUKI DESIGN,0.85,7138.650000000006,8975
1008,22144,CHRISTMAS CRAFT LITTLE FRIENDS,2.1,7128.100000000017,3468
2706,84406,CREAM CUPID HEARTS COAT HANGER,2.75,7125.380000000002,1918
2839,84836,ZINC METAL HEART DECORATION,1.25,7108.679999999999,5757
1610,22795,SWEETHEART RECIPE BOOK STAND,6.75,7084.649999999999,1099
397,21218,RED SPOTTY BISCUIT TIN,3.75,7071.2,2058
1816,23007, SPACEBOY BABY GIFT SET,14.95,7065.499999999982,450
1761,22950,36 DOILIES VINTAGE CHRISTMAS,1.45,7045.399999999981,5180
1559,22741,FUNKY DIVA PEN,0.85,7010.94000000002,8328
753,21787,RAIN PONCHO RETROSPOT,0.85,6964.629999999998,8755
2014,23215,JINGLE BELL HEART ANTIQUE SILVER,2.08,6962.039999999996,3547
1585,22767,TRIPLE PHOTO FRAME CORNICE ,9.95,6932.829999999991,761
2107,23320,GIANT 50'S CHRISTMAS CRACKER,2.89,6926.110000000013,2635
1589,22771,CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,1.25,6923.17,5753
2318,23543,WALL ART KEEP CALM ,7.45,6877.72,1228
405,21231,SWEETHEART CERAMIC TRINKET BOX,1.25,6875.859999999997,5757
393,21213,PACK OF 72 SKULL CAKE CASES,0.55,6859.3099999999895,14309
1289,22456,NATURAL SLATE CHALKBOARD LARGE ,4.95,6833.199999999995,1452
2108,23321,SMALL WHITE HEART OF WICKER,1.69,6832.830000000008,4283
2035,23236,STORAGE TIN VINTAGE DOILY ,2.89,6828.3100000000195,2459
1801,22991,GIRAFFE WOODEN RULER,1.95,6820.739999999981,3710
284,21035,SET/2 RED RETROSPOT TEA TOWELS ,2.95,6820.010000000001,2319
1658,22844,VINTAGE CREAM DOG FOOD CONTAINER,8.5,6779.350000000001,826
1317,22487,WHITE WOOD GARDEN PLANT LADDER,9.95,6778.8099999999595,724
362,21169,YOU'RE CONFUSING ME METAL SIGN ,1.69,6762.569999999991,4281
1178,22333,RETROSPOT PARTY BAG + STICKER SET,1.65,6749.229999999984,4391
2268,23493,VINTAGE DOILY TRAVEL SEWING KIT,1.95,6747.899999999995,3522
1887,23083,SET 6 PAPER TABLE LANTERN STARS ,3.75,6739.630000000001,1860
245,20969,RED FLORAL FELTCRAFT SHOULDER BAG,3.75,6734.31,1876
2702,84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,1.25,6718.899999999971,5293
1196,22352,LUNCH BOX WITH CUTLERY RETROSPOT ,2.55,6717.790000000028,2853
2525,48111,DOORMAT 3 SMILEY CATS,6.75,6715.250000000001,1107
813,21877,HOME SWEET HOME MUG,1.25,6708.109999999995,5347
2051,23254,CHILDRENS CUTLERY DOLLY GIRL ,4.15,6704.000000000009,1664
81,2,CARRIAGE,50.0,6686.0,134
1456,22634,CHILDS BREAKFAST SET SPACEBOY ,9.95,6681.849999999987,731
2084,23297,SET 40 HEART SHAPE PETIT FOUR CASES,1.45,6676.999999999987,4260
1141,22294,HEART FILIGREE DOVE  SMALL,1.25,6671.069999999999,5439
872,21955,DOORMAT UNION JACK GUNS AND ROSES,7.95,6635.609999999998,1159
1654,22840,ROUND CAKE TIN VINTAGE RED,7.95,6600.729999999975,891
2070,23283,DOORMAT VINTAGE LEAF,7.95,6600.270000000003,967
1449,22627,MINT KITCHEN SCALES,8.5,6599.79,792
1778,22968,ROSE COTTAGE KEEPSAKE BOX ,8.5,6574.949999999988,729
1543,22725,ALARM CLOCK BAKELIKE CHOCOLATE,3.75,6574.26,1776
1211,22367,CHILDRENS APRON SPACEBOY DESIGN,1.95,6572.49,3543
1817,23008,DOLLY GIRL BABY GIFT SET,14.95,6567.949999999983,421
1720,22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,0.85,6530.259999999979,8122
1909,23109,PACK OF SIX LED TEA LIGHTS,2.49,6528.250000000017,2325
1377,22553,PLASTERS IN TIN SKULLS,1.65,6505.800000000009,4036
2080,23293,SET OF 12 FAIRY CAKE BAKING CASES,0.72,6469.450000000013,8243
1904,23103,JINGLE BELL HEART DECORATION,1.65,6456.149999999999,3939
422,21259,VICTORIAN SEWING BOX SMALL ,5.95,6432.109999999984,1128
1934,23134,LARGE ZINC HEART WALL ORGANISER,7.05,6414.48,1064
359,21165,BEWARE OF THE CAT METAL SIGN ,1.69,6405.31,4027
1032,22170,PICTURE FRAME WOOD TRIPLE PORTRAIT,6.75,6378.15,1023
334,21122,SET/10 PINK POLKADOT PARTY CANDLES,1.25,6353.58,5257
2028,23229,VINTAGE DONKEY TAIL GAME ,3.39,6336.43,1804
2309,23534,WALL ART STOP FOR TEA ,5.95,6326.830000000004,1207
1459,22637,PIGGY BANK RETROSPOT ,2.55,6308.569999999996,2619
1334,22505,MEMO BOARD COTTAGE DESIGN,4.95,6306.190000000002,1365
671,21669,BLUE STRIPE CERAMIC DRAWER KNOB,1.25,6284.249999999977,4969
